ENTITY,CIK,DATE,Year,Quarter,NET_INCOME_LOSS,OPS_INCOME_LOSS,REVENUES,PROFIT_MARGIN
Apple Inc.,320193,2014-03-29,2014,Q1,10223.0,13593.0,,
Apple Inc.,320193,2014-06-28,2014,Q2,7748.0,10282.0,,
Apple Inc.,320193,2014-09-27,2014,Q3,8467.0,,,
Apple Inc.,320193,2014-12-27,2014,Q4,18024.0,24246.0,,
Apple Inc.,320193,2015-03-28,2015,Q1,13569.0,18278.0,,
Apple Inc.,320193,2015-06-27,2015,Q2,10677.0,14083.0,,
Apple Inc.,320193,2015-09-26,2015,Q3,11124.0,,,
Apple Inc.,320193,2015-12-26,2015,Q4,18361.0,24171.0,,
Apple Inc.,320193,2016-03-26,2016,Q1,10516.0,13987.0,,
Apple Inc.,320193,2016-06-25,2016,Q2,7796.0,10105.0,,
Apple Inc.,320193,2016-09-24,2016,Q3,9014.0,,,
Apple Inc.,320193,2016-12-31,2016,Q4,17891.0,23359.0,78351.0,22.83
Apple Inc.,320193,2017-04-01,2017,Q1,11029.0,14097.0,52896.0,20.85
Apple Inc.,320193,2017-07-01,2017,Q2,8717.0,10768.0,45408.0,19.2
Apple Inc.,320193,2017-09-30,2017,Q3,10714.0,,52579.0,20.38
Apple Inc.,320193,2017-12-30,2017,Q4,20065.0,26274.0,88293.0,22.73
Apple Inc.,320193,2018-03-31,2018,Q1,13822.0,15894.0,61137.0,22.61
Apple Inc.,320193,2018-06-30,2018,Q2,11519.0,12612.0,53265.0,21.63
Apple Inc.,320193,2018-09-29,2018,Q3,14125.0,,62900.0,22.46
Apple Inc.,320193,2018-12-29,2018,Q4,19965.0,23346.0,,
Apple Inc.,320193,2019-03-30,2019,Q1,11561.0,13415.0,,
Apple Inc.,320193,2019-06-29,2019,Q2,10044.0,11544.0,,
Apple Inc.,320193,2019-09-28,2019,Q3,13686.0,,,
Apple Inc.,320193,2019-12-28,2019,Q4,22236.0,25569.0,,
Apple Inc.,320193,2020-03-28,2020,Q1,11249.0,12853.0,,
Apple Inc.,320193,2020-06-27,2020,Q2,11253.0,13091.0,,
Apple Inc.,320193,2020-09-26,2020,Q3,12673.0,,,
Apple Inc.,320193,2020-12-26,2020,Q4,28755.0,33534.0,,
Apple Inc.,320193,2021-03-27,2021,Q1,23630.0,27503.0,,
Apple Inc.,320193,2021-06-26,2021,Q2,21744.0,24126.0,,
Apple Inc.,320193,2021-12-25,2021,Q4,34630.0,41488.0,,
Apple Inc.,320193,2022-03-26,2022,Q1,25010.0,29979.0,,
Apple Inc.,320193,2022-06-25,2022,Q2,19442.0,23076.0,,
Apple Inc.,320193,2022-12-31,2022,Q4,29998.0,36016.0,,
Apple Inc.,320193,2023-04-01,2023,Q1,24160.0,28318.0,,
Apple Inc.,320193,2023-07-01,2023,Q2,19881.0,22998.0,,
Apple Inc.,320193,2023-12-30,2023,Q4,33916.0,40373.0,,
