ENTITY,CIK,DATE,Year,Quarter,CASH_FLOW_FINANCING,CASH_FLOW_INVESTING,CASH_FLOW_OPERATING
GameStop Corp.,1326380,2015-01-31,2014,5,-131.2,-235.9,480.5
GameStop Corp.,1326380,2016-01-30,2015,5,-346.2,-444.6,656.8
GameStop Corp.,1326380,2017-01-28,2016,5,238.7,-577.4,537.1
GameStop Corp.,1326380,2018-02-03,2017,5,-202.5,-60.6,434.9
GameStop Corp.,1326380,2019-02-02,2018,5,-174.7,635.5,325.1
GameStop Corp.,1326380,2020-02-01,2019,5,-644.7,-60.9,-414.5
GameStop Corp.,1326380,2021-01-30,2020,5,-55.4,36.9,123.7
GameStop Corp.,1326380,2022-01-29,2021,5,1200.6,-64.8,-434.3
GameStop Corp.,1326380,2023-01-28,2022,5,-7.9,-222.7,108.2
